problem,instance,method,backend,transpiled_two_qubit_gates,fidelity_proxy,hardware_feasible,hardware_optimality_gap_percent,marker_key,problem_color_key,panel
MDKP,pet6,PCE,ibm_fez,288,0.420925846309,true,19.92,pentagon,MDKP,signal_preserving
MDKP,pet7,PCE,ibm_torino,288,0.420925846309,true,25.27,pentagon,MDKP,signal_preserving
MDKP,hp1,QAOA,ibm_torino,22621,3.04211878575e-30,true,36.22,upward_triangle,MDKP,noise_dominated
MDKP,hp2,QAOA,ibm_torino,30329,2.66352289487e-40,true,19.68,upward_triangle,MDKP,noise_dominated
MDKP,pb1,QAOA,ibm_fez,21821,3.36549940909e-29,true,36.67,upward_triangle,MDKP,noise_dominated
MDKP,pb2,QAOA,ibm_fez,29320,5.5213044822e-39,true,42.18,upward_triangle,MDKP,noise_dominated
MDKP,pb4,QAOA,ibm_fez,11522,9.23876811634e-16,true,37.53,upward_triangle,MDKP,noise_dominated
MDKP,pb5,QAOA,ibm_torino,47838,3.79300410732e-63,true,23.47,upward_triangle,MDKP,noise_dominated
MDKP,pet2,QAOA,ibm_torino,23440,2.59723247913e-31,true,14.7,upward_triangle,MDKP,noise_dominated
MDKP,pet3,QAOA,ibm_torino,31868,2.61399694598e-42,true,20.05,upward_triangle,MDKP,noise_dominated
MDKP,pet4,QAOA,ibm_torino,41078,2.51022774942e-54,true,33.33,upward_triangle,MDKP,noise_dominated
MDKP,pet5,QAOA,ibm_fez,63249,2.95167171716e-83,true,37.3,upward_triangle,MDKP,noise_dominated
MDKP,pet6,QAOA,ibm_torino,45464,4.74982360127e-60,true,23.09,upward_triangle,MDKP,noise_dominated
MDKP,pet7,QAOA,ibm_fez,65365,5.11708983402e-86,true,49.76,upward_triangle,MDKP,noise_dominated
MDKP,hp1,QRAO,ibm_fez,111,0.716411539536,true,5.85,X,MDKP,signal_preserving
MDKP,hp2,QRAO,ibm_fez,132,0.672606247808,true,16.67,X,MDKP,signal_preserving
MDKP,pb1,QRAO,ibm_fez,108,0.722898123921,true,15.4,X,MDKP,signal_preserving
MDKP,pb2,QRAO,ibm_marrakesh,129,0.6786962072,true,13.65,X,MDKP,signal_preserving
MDKP,pb4,QRAO,ibm_marrakesh,93,0.756222723121,true,21.71,X,MDKP,signal_preserving
MDKP,pb5,QRAO,ibm_marrakesh,168,0.603651933973,true,18,X,MDKP,signal_preserving
MDKP,pet2,QRAO,ibm_torino,129,0.6786962072,true,0.64,X,MDKP,signal_preserving
MDKP,pet3,QRAO,ibm_marrakesh,129,0.6786962072,true,34.12,X,MDKP,signal_preserving
MDKP,pet4,QRAO,ibm_torino,138,0.6605897748,true,18.63,X,MDKP,signal_preserving
MDKP,pet5,QRAO,ibm_fez,171,0.598235348871,true,25.52,X,MDKP,signal_preserving
MDKP,pet6,QRAO,ibm_fez,153,0.631479449484,true,15.23,X,MDKP,signal_preserving
MDKP,pet7,QRAO,ibm_marrakesh,183,0.577050698462,true,16.79,X,MDKP,signal_preserving
MDKP,hp1,VQE,ibm_torino,180,0.582275471994,true,26.95,circle,MDKP,signal_preserving
MDKP,hp2,VQE,ibm_torino,279,0.432463211362,true,17.92,circle,MDKP,signal_preserving
MDKP,pb1,VQE,ibm_torino,328,0.373260407813,true,22.62,circle,MDKP,signal_preserving
MDKP,pb2,VQE,ibm_torino,295,0.412165561938,true,26.77,circle,MDKP,signal_preserving
